# 2016-06-28 17:09:55.759964
#
# Simulation of heat flow through 1-dimensional rod
# 
# Dimensions
#   dim x =                     11
#   min x =                     0.0
#   max x =                     0.33
# 
# Thermodynamical parameters
#   initial temp =              300.0
#   k c =                       1.95
#   area =                      0.0003877733785771607
#   stop time =                 900.0
#   u amb =                     300.0
#   perim =                     0.0698061887627652
#   emiss =                     0.01
#   power cool =                -10.0
#   power heat =                10.0
#   c =                         380.0
#   rho =                       8730
#   k =                         125.0
# 
# Boundary conditions:
#   method =                    Simple heat-diffusion BC
#   x0 order =                  None
#   x1 order =                  None
# 
# Finite differencing
#   time step =                 0.5
#   method =                    Explicit for simple convection-diffusion equation
# 
Step= 0             Time=       0.0000
       1      327.82692465
       2      326.07021968
       3      322.79695319
       4      319.28240254
       5      316.10470236
       6      313.45104305
       7      311.35482991
       8      309.80476189
       9      308.78237648
      10      308.27295042
Step= 1917          Time=     958.5000
       0      323.85356592
       1      326.20704266
       2      325.26673390
       3      322.58284598
       4      319.36948204
       5      316.30748490
       6      313.68543626
       7      311.59163648
       8      310.03669111
       9      309.00936736
      10      308.49711003
Step= 1944          Time=     972.0000
       0      321.84507126
       1      324.67192528
       2      324.38774448
       3      322.25148016
       4      319.37132232
       5      316.46674765
       6      313.90253191
       7      311.82304702
       8      310.26762874
       9      309.23680080
      10      308.72212309
Step= 1971          Time=     985.5000
       0      320.03410245
       1      323.22311811
       2      323.47587735
       3      321.83471355
       4      319.29569187
       5      316.57791787
       6      314.09642231
       7      312.04544367
       8      310.49594867
       9      309.46405379
      10      308.94772184
Step= 1998          Time=     999.0000
       0      318.37757823
       1      321.85472026
       2      322.55513200
       3      321.35747855
       4      319.15357321
       5      316.64078225
       6      314.26312225
       7      312.25537781
       8      310.71968616
       9      309.69020895
      10      309.17344711
Step= 2025          Time=    1012.5000
       0      316.84602070
       1      320.55918400
       2      321.63910697
       3      320.83826745
       4      318.95614672
       5      316.65782361
       6      314.40057055
       7      312.45001172
       8      310.93679911
       9      309.91411192
      10      309.39861939
Step= 2052          Time=    1026.0000
       0      315.41823536
       1      319.32915392
       2      320.73551602
       3      320.29055427
       4      318.71352359
       5      316.63290805
       6      314.50826036
       7      312.62728942
       8      311.14538119
       9      310.13446522
      10      309.62235068
Step= 2079          Time=    1039.5000
       0      314.07838874
       1      318.15800400
       2      319.84866821
       3      319.72412714
       4      318.43436570
       5      316.57042713
       6      314.58679145
       7      312.78592205
       8      311.34379205
       9      310.34992527
      10      309.84358862
Step= 2106          Time=    1053.0000
       0      312.81428776
       1      317.03993106
       2      318.98085923
       3      319.14611844
       4      318.12589797
       5      316.47479650
       6      314.63747615
       7      312.92527888
       8      311.53071221
       9      310.55918317
      10      310.06117757
Step= 2133          Time=    1066.5000
       0      311.61630851
       1      315.96990071
       2      318.13317312
       3      318.56175196
       4      317.79406838
       5      316.35019024
       6      314.66203686
       7      313.04524705
       8      311.70514504
       9      310.76102253
      10      310.27392259
Step= 2160          Time=    1080.0000
       0      310.47669853
       1      314.94355199
       2      317.30595665
       3      317.97487324
       4      317.44374489
       5      316.20041825
       6      314.66239132
       7      313.14609500
       8      311.86638854
       9      310.95435536
      10      310.48064662
Step= 2187          Time=    1093.5000
       0      309.38910496
       1      313.95709895
       2      316.49910660
       3      317.38832450
       4      317.07890360
       5      316.02888520
       6      314.64050871
       7      313.22835529
       8      312.01399342
       9      311.13824015
      10      310.68023601
Step= 2214          Time=    1107.0000
       0      308.34824524
       1      313.00724181
       2      315.71224717
       3      316.80421076
       4      316.70279232
       5      315.83859366
       6      314.59831784
       7      313.29273106
       8      312.14771829
       9      311.31188699
      10      310.87167288
Step= 2241          Time=    1120.5000
       0      307.34967098
       1      312.09109089
       2      314.94484132
       3      316.22409018
       4      316.31806678
       5      315.63216923
       6      314.53765225
       7      313.34002512
       8      312.26748764
       9      311.47465404
      10      311.05405557
Step= 2268          Time=    1134.0000
       0      306.38959484
       1      311.20610299
       2      314.19626132
       3      315.64911149
       4      315.92690151
       5      315.41189530
       6      314.46022020
       7      313.37108825
       8      312.37335517
       9      311.62603862
      10      311.22660872
Step= 2295          Time=    1147.5000
       0      305.46476076
       1      310.35002852
       2      313.46583384
       3      315.08011420
       4      315.53107937
       5      315.17975050
       6      314.36759124
       7      313.38678296
       8      312.46547323
       9      311.76566523
      10      311.38868573
Step= 2322          Time=    1161.0000
       0      304.57234525
       1      309.52086769
       2      312.75286862
       3      314.51770242
       4      315.13206335
       5      314.93744526
       6      314.26119342
       7      313.38795890
       8      312.54406812
       9      311.89327238
      10      311.53976538
Step= 2349          Time=    1174.5000
       0      303.70988078
       1      308.71683429
       2      312.05667676
       3      313.96229977
       4      314.73105440
       5      314.68645586
       6      314.14231707
       7      313.37543708
       8      312.60942045
       9      312.00869901
      10      311.67944475
Step= 2376          Time=    1188.0000
       0      302.87519583
       1      307.93632551
       2      311.37658209
       3      313.41419061
       4      314.32903796
       5      314.42805514
       6      314.01212236
       7      313.35000041
       8      312.66184979
       9      312.11187145
      10      311.80742978
Step= 2403          Time=    1201.5000
       0      302.06636708
       1      307.17789672
       2      310.71192798
       3      312.87355134
       4      313.92682158
       5      314.16333972
       6      313.87164901
       7      313.31238860
       8      312.70170275
       9      312.20279112
      10      311.92352461
Step= 2430          Time=    1215.0000
       0      301.28168102
       1      306.44024039
       2      310.06208131
       3      312.34047427
       4      313.52506550
       5      313.89325399
       6      313.72182680
       7      313.26329626
       8      312.72934379
       9      312.28152330
      10      312.02762054
Step= 2457          Time=    1228.5000
       0      300.51960281
       1      305.72216826
       2      309.42643446
       3      311.81498614
       4      313.12430764
       5      313.61861095
       6      313.56348617
       7      313.20337290
       8      312.74514822
       9      312.34818696
      10      312.11968515
Step= 2484          Time=    1242.0000
       0      299.77875071
       1      305.02259635
       2      308.80440599
       3      311.29706242
       4      312.72498400
       5      313.34011034
       6      313.39736854
       7      313.13322432
       8      312.74949680
       9      312.40294575
      10      312.19975190
Step= 2511          Time=    1255.5000
       0      299.05787494
       1      304.34053213
       2      308.19544058
       3      310.78663859
       4      312.32744563
       5      313.05835431
       6      313.22413596
       7      313.05341480
       8      312.74277163
       9      312.44600000
      10      312.26791049
Step= 2538          Time=    1269.0000
       0      298.35584013
       1      303.67506368
       2      307.59900843
       3      310.28361900
       4      311.93197252
       5      312.77386099
       6      313.04437998
       7      312.96446964
       8      312.72535311
       9      312.47757981
      10      312.32429806
Step= 2565          Time=    1282.5000
       0      297.67161060
       1      303.02535029
       2      307.01460437
       3      309.78788398
       4      311.53878527
       5      312.48707615
       6      312.85862982
       7      312.86687800
       8      312.69761752
       9      312.49793894
      10      312.36909127
Step= 2592          Time=    1296.0000
       0      297.00423791
       1      302.39061451
       2      306.44174678
       3      309.29929540
       4      311.14805476
       5      312.19838329
       6      312.66735958
       7      312.76109560
       8      312.65993531
       9      312.50734959
      10      312.40249924
Step= 2619          Time=    1309.5000
       0      296.35285035
       1      301.77013521
       2      305.87997649
       3      308.81770127
       4      310.75991027
       5      311.90811232
       6      312.47099476
       7      312.64754757
       8      312.61266978
       9      312.50609795
      10      312.42475733
Step= 2646          Time=    1323.0000
       0      295.71664401
       1      301.16324163
       2      305.32885557
       3      308.34293933
       4      310.37444630
       5      311.61654700
       6      312.26991805
       7      312.52663089
       8      312.55617613
       9      312.49448033
      10      312.43612176
Step= 2673          Time=    1336.5000
       0      295.09487505
       1      300.56930820
       2      304.78796622
       3      307.87484008
       4      309.99172829
       5      311.32393142
       6      312.06447440
       7      312.39871688
       8      312.49080074
       9      312.47279988
      10      312.43686488
Step= 2700          Time=    1350.0000
       0      294.48685319
       1      299.98775004
       2      304.25690967
       3      307.41322909
       4      309.61179747
       5      311.03047549
       6      311.85497551
       7      312.26415340
       8      312.41688077
       9      312.44136388
      10      312.42727111
Step= 2727          Time=    1363.5000
       0      293.89193597
       1      299.41801903
       2      303.73530510
       3      306.95792900
       4      309.23467493
       5      310.73635975
       6      311.64170377
       7      312.12326682
       8      312.33474375
       9      312.40048135
      10      312.40763346
Step= 2754          Time=    1377.0000
       0      293.30952387
       1      298.85960038
       2      303.22278869
       3      306.50876110
       4      308.86036507
       5      310.44173943
       6      311.42491571
       7      311.97636389
       8      312.24470751
       9      312.35046117
      10      312.37825059
Step= 2781          Time=    1390.5000
